pairkey,map,min,p1,mean,p99,max
IMG_210204_095121_0004_,log,0.0,0.0006273000763030723,0.056261323392391205,0.24082814902067184,0.9999999403953552
IMG_210204_095121_0004_,structure_tensor,0.0,1.659502002482327e-08,0.0757034495472908,0.9999983459711075,1.0
IMG_210204_095121_0004_,morph_gradient,0.0,0.0117647061124444,0.1340060979127884,0.40392157435417175,0.9725490212440491
IMG_210204_095123_0005_,S_fused,0.03576646000146866,0.11389177851378918,0.3729826509952545,0.6387015134096146,0.890404224395752
IMG_210204_095123_0005_,NDVI,5.066394805908203e-07,0.0007868856191635132,0.4373980164527893,0.9987823814153671,0.9999995231628418
IMG_210204_095123_0005_,GNDVI,5.364418029785156e-07,0.003167368471622467,0.40830913186073303,0.9680314064025879,0.9999993443489075
IMG_210204_095123_0005_,NDRE,5.364418029785156e-07,0.012957990169525146,0.4477381408214569,0.9274344146251678,0.999999463558197
IMG_210204_095123_0005_,BRVI,0.0,0.0001542789104860276,0.7762252688407898,1.0,1.0
IMG_210204_095123_0005_,LR,0.0,0.0,0.08517524600028992,0.6129478961229324,0.6931471824645996
IMG_210204_095123_0005_,sobel,0.0,0.0013959557109046727,0.07339777797460556,0.2709862068295479,0.9999997019767761
IMG_210204_095123_0005_,log,0.0,0.0006108346133260056,0.05514049157500267,0.23477813601493835,0.9999999403953552
IMG_210204_095123_0005_,structure_tensor,0.0,5.18442995200985e-08,0.07653015851974487,0.9999939650297165,1.0
IMG_210204_095123_0005_,morph_gradient,0.0,0.01568627543747425,0.1320052146911621,0.3960784375667572,0.9960784316062927
IMG_210204_095125_0006_,S_fused,0.018920371308922768,0.12618647888302803,0.3773547410964966,0.6199947893619537,0.8431944251060486
IMG_210204_095125_0006_,NDVI,4.76837158203125e-07,0.0012230351567268372,0.4404527544975281,0.9989276677370071,0.9999995231628418
IMG_210204_095125_0006_,GNDVI,4.76837158203125e-07,0.0056604668498039246,0.40950170159339905,0.9706368744373322,0.9999992251396179
IMG_210204_095125_0006_,NDRE,4.76837158203125e-07,0.05713631957769394,0.4534222483634949,0.8761387020349503,0.9999994039535522
IMG_210204_095125_0006_,BRVI,0.0,0.0006090232927817851,0.7589141726493835,1.0,1.0
IMG_210204_095125_0006_,LR,0.0,0.0,0.10172657668590546,0.624074175953865,0.6931471824645996
IMG_210204_095125_0006_,sobel,0.0,0.0021095857955515385,0.06987457722425461,0.2549110874533653,0.9999997019767761
IMG_210204_095125_0006_,log,0.0,0.0005813677853439003,0.048612918704748154,0.2029622718691826,0.9999999403953552
IMG_210204_095125_0006_,structure_tensor,0.0,4.2561322466383444e-08,0.07789219170808792,0.9999836385250092,1.0
IMG_210204_095125_0006_,morph_gradient,0.0,0.019607843831181526,0.1292165070772171,0.3803921639919281,1.0
IMG_210204_095127_0007_,S_fused,0.050085894763469696,0.1346641555428505,0.40598076581954956,0.6210289150476456,0.8224382996559143
IMG_210204_095127_0007_,NDVI,4.76837158203125e-07,0.0007974803447723389,0.4721890687942505,0.9988202750682831,0.9999995231628418
IMG_210204_095127_0007_,GNDVI,4.76837158203125e-07,0.005359776318073273,0.43040040135383606,0.9433659315109253,0.9999990463256836
IMG_210204_095127_0007_,NDRE,4.76837158203125e-07,0.08773785084486008,0.4638206958770752,0.7673461139202118,0.9999994039535522
IMG_210204_095127_0007_,BRVI,0.0,0.0007685409655096009,0.715438961982727,1.0,1.0
IMG_210204_095127_0007_,LR,0.0,0.0,0.12888073921203613,0.6506315469741821,0.6931471824645996
IMG_210204_095127_0007_,sobel,0.0,0.0024623896460980177,0.06585884094238281,0.23939266800880432,0.9999997019767761
IMG_210204_095127_0007_,log,0.0,0.0005847862630616874,0.04736943542957306,0.19615690782666206,0.9999999403953552
IMG_210204_095127_0007_,structure_tensor,0.0,3.5335784964729555e-08,0.0799555778503418,0.9999961107969284,1.0
IMG_210204_095127_0007_,morph_gradient,0.0,0.019607843831181526,0.12675441801548004,0.3686274588108063,0.9960784316062927
IMG_210204_095129_0008_,S_fused,0.014892552979290485,0.09419189766049385,0.36595818400382996,0.6766679435968399,0.8723738789558411
IMG_210204_095129_0008_,NDVI,4.76837158203125e-07,6.318092346191406e-06,0.4779288172721863,0.9971650093793869,0.9999995231628418
IMG_210204_095129_0008_,GNDVI,4.76837158203125e-07,1.1563301086425781e-05,0.38548022508621216,0.9890169203281403,0.9999995231628418
IMG_210204_095129_0008_,NDRE,4.76837158203125e-07,1.3023614883422852e-05,0.42264324426651,0.9918548464775085,0.9999995231628418
IMG_210204_095129_0008_,BRVI,0.0,0.0012849256745539606,0.6572414040565491,1.0,1.0
IMG_210204_095129_0008_,LR,0.0,0.0,0.0917319729924202,0.5958957374095917,0.6931471824645996
IMG_210204_095129_0008_,sobel,0.0,0.0030291061848402023,0.06817164272069931,0.24737773090600967,0.9999997019767761
IMG_210204_095129_0008_,log,0.0,0.0006101808976382017,0.04801500588655472,0.19725538417696953,0.9999999403953552
IMG_210204_095129_0008_,structure_tensor,0.0,4.074575610246711e-08,0.08482149243354797,0.9999911487102509,1.0
IMG_210204_095129_0008_,morph_gradient,0.0,0.0235294122248888,0.12739481031894684,0.37254902720451355,0.9725490212440491
IMG_210204_095131_0009_,S_fused,0.05370273068547249,0.1678360030055046,0.4894660413265228,0.7461104542016983,0.9068488478660583
IMG_210204_095131_0009_,NDVI,4.76837158203125e-07,0.19626428931951523,0.7227675914764404,0.9985467195510864,0.9999995231628418
IMG_210204_095131_0009_,GNDVI,4.76837158203125e-07,0.18473538756370544,0.6247690916061401,0.9995661079883575,0.9999995231628418
IMG_210204_095131_0009_,NDRE,5.066394805908203e-07,0.23169419169425964,0.6491680145263672,0.9969907701015472,0.9999995231628418
IMG_210204_095131_0009_,BRVI,0.0,0.0024463787558488548,0.5939596891403198,1.0,1.0
IMG_210204_095131_0009_,LR,0.0,0.0,0.31330177187919617,0.6435184478759766,0.6931471824645996
IMG_210204_095131_0009_,sobel,0.0,0.004149988293647766,0.07704632729291916,0.27248747646808624,0.9999997019767761
IMG_210204_095131_0009_,log,1.3587126979075492e-08,0.0010177543153986335,0.07451535761356354,0.2963569611310959,0.9999998807907104
IMG_210204_095131_0009_,structure_tensor,0.0,6.570064492450456e-08,0.10033946484327316,0.9999995529651642,1.0
IMG_210204_095131_0009_,morph_gradient,0.0,0.027450980618596077,0.1330839842557907,0.37254902720451355,0.9647058844566345
