pairkey,band,method,ok,ssim_edges,out_path,extra,flag_low_ssim
IMG_210204_095559_0117_,NIR,ORB_RANSAC,1,0.045612653591904403,artifacts\aligned\NIR\IMG_210204_095559_0117__NIR.tif,"{""inliers"": 8, ""matches"": 500, ""homography"": [[-0.8950145244598389, -0.09731544554233551, 818.1961669921875], [-0.5959800481796265, -0.0786479040980339, 555.9949340820312], [-0.0010913775768131018, -0.00012127838272135705, 1.0]]}",1
IMG_210204_095559_0117_,GRE,ORB_RANSAC,1,0.6171215104075951,artifacts\aligned\GRE\IMG_210204_095559_0117__GRE.tif,"{""inliers"": 305, ""matches"": 500, ""homography"": [[0.9993260502815247, -0.0011324862716719508, 15.977059364318848], [0.0004476055328268558, 0.9996407628059387, -18.891826629638672], [-4.617138529283693e-07, -1.0153139555768576e-06, 1.0]]}",0
IMG_210204_095601_0118_,RED,IDENTITY,1,1.0,artifacts\aligned\RED\IMG_210204_095601_0118__RED.tif,{},0
IMG_210204_095601_0118_,REG,ORB_RANSAC,1,0.1307305693538969,artifacts\aligned\REG\IMG_210204_095601_0118__REG.tif,"{""inliers"": 10, ""matches"": 500, ""homography"": [[0.658463716506958, -0.9852110147476196, 203.92449951171875], [-0.04785521700978279, 0.5567540526390076, 37.774078369140625], [-0.00024596592993475497, -0.0005891211330890656, 1.0]]}",1
IMG_210204_095601_0118_,NIR,ORB_RANSAC,1,0.07916095458264265,artifacts\aligned\NIR\IMG_210204_095601_0118__NIR.tif,"{""inliers"": 8, ""matches"": 500, ""homography"": [[-1.4042866230010986, 1.6191072463989258, 483.7266845703125], [-1.1712366342544556, 1.354326844215393, 402.2375793457031], [-0.0029022516682744026, 0.0033456666860729456, 1.0]]}",1
IMG_210204_095601_0118_,GRE,ORB_RANSAC,1,0.5763693691645523,artifacts\aligned\GRE\IMG_210204_095601_0118__GRE.tif,"{""inliers"": 380, ""matches"": 500, ""homography"": [[0.9988424181938171, -0.0019055346492677927, 16.15167808532715], [0.00027013785438612103, 0.9978314638137817, -18.454185485839844], [-6.773660174985707e-07, -2.264148179165204e-06, 1.0]]}",1
IMG_210204_095603_0119_,RED,IDENTITY,1,1.0,artifacts\aligned\RED\IMG_210204_095603_0119__RED.tif,{},0
IMG_210204_095603_0119_,REG,ORB_RANSAC,1,0.16963895966683296,artifacts\aligned\REG\IMG_210204_095603_0119__REG.tif,"{""inliers"": 16, ""matches"": 500, ""homography"": [[0.7927234768867493, -0.0251941941678524, 84.71492004394531], [-0.010390965268015862, 0.898992657661438, -19.537824630737305], [-0.0001197127130581066, -4.0722294215811417e-05, 1.0]]}",1
IMG_210204_095603_0119_,NIR,ORB_RANSAC,1,0.1468135518821418,artifacts\aligned\NIR\IMG_210204_095603_0119__NIR.tif,"{""inliers"": 9, ""matches"": 500, ""homography"": [[-1.2589136362075806, 0.654444694519043, 848.5523071289062], [-0.7083982229232788, 0.3281153738498688, 486.59039306640625], [-0.001468472182750702, 0.0007652595522813499, 1.0]]}",1
IMG_210204_095603_0119_,GRE,ORB_RANSAC,1,0.564782091090327,artifacts\aligned\GRE\IMG_210204_095603_0119__GRE.tif,"{""inliers"": 364, ""matches"": 500, ""homography"": [[1.000649333000183, -0.0016152763273566961, 15.805596351623535], [0.0009640803327783942, 0.9990075826644897, -18.911935806274414], [1.7497081898909528e-06, -2.1789956008433364e-06, 1.0]]}",1
IMG_210204_095604_0120_,RED,IDENTITY,1,1.0,artifacts\aligned\RED\IMG_210204_095604_0120__RED.tif,{},0
IMG_210204_095604_0120_,REG,ORB_RANSAC,1,0.233202764843596,artifacts\aligned\REG\IMG_210204_095604_0120__REG.tif,"{""inliers"": 167, ""matches"": 500, ""homography"": [[1.0694342851638794, -0.0023114020004868507, -27.832740783691406], [0.011299839243292809, 1.0318949222564697, -40.408103942871094], [4.695553798228502e-05, -2.7411008431954542e-06, 1.0]]}",1
